time,inning,,pitcher,batter,outcome,x,y,vs,ve,top,bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vxo,vxo,vxo,break_y,break_angle,break_length,some,stuff,idk,pitchtype,type_conf,pitch_zone,nasty,spind_dir,spin_rate,comments
2014-04-17 14:45:22 -0500,1,Top,Madison Bumgarner,Dee Gordon,S,122.75,147.65,92.3,86.2,3.24,1.49,6.52,5.85,-0.708,2.432,3.296,50,5.643,-12.998,-134.707,-4.646,12.175,24.639,-21.171,23.9,-24.2,5.2,FT,0.532,4,53,132.106,1767.37,
2014-04-17 14:45:38 -0500,1,Top,Madison Bumgarner,Dee Gordon,B,71.24,129.52,92.9,86.5,3.5,1.64,5.8,7.54,0.909,3.179,3.318,50,5.825,-8.544,-135.947,-3.849,11.011,25.841,-17.781,23.9,-27,4.4,FF,0.959,12,62,142.584,1933.902,
2014-04-17 14:45:55 -0500,1,Top,Madison Bumgarner,Dee Gordon,B,89.27,170.1,92.6,86.3,3.43,1.49,6.9,7.18,0.319,1.445,3.427,50,5.487,-10.756,-135.121,-7.378,12.951,25.307,-18.635,23.9,-28.9,4.9,FT,0.877,14,53,136.273,2011.654,
2014-04-17 14:46:12 -0500,1,Top,Madison Bumgarner,Dee Gordon,S,125.32,155.42,92.3,85,3.43,1.5,8.16,6.87,-0.781,2.112,3.275,50,5.546,-13.607,-134.596,-5.472,15,28.707,-19.47,23.8,-30.6,5.3,FT,0.903,13,60,130.263,2118.77,
2014-04-17 14:46:33 -0500,1,Top,Madison Bumgarner,Dee Gordon,S,117.6,130.38,92.8,85.7,3.35,1.5,7.31,7.79,-0.515,3.209,3.196,50,5.65,-12.503,-135.436,-3.278,13.683,27.62,-17.53,23.8,-31.6,4.6,FT,0.9,1,59,136.944,2146.859,
2014-04-17 14:47:11 -0500,1,Top,Madison Bumgarner,Justin Turner,S,100.43,154.56,92.7,86.4,3.52,1.6,6.3,7.56,-0.007,2.206,3.235,50,5.664,-10.93,-135.443,-5.987,11.877,25.458,-17.843,23.9,-27.6,4.6,FF,0.807,8,41,140.35,1993.701,
2014-04-17 14:47:34 -0500,1,Top,Madison Bumgarner,Justin Turner,S,97.85,138.15,87.9,82.3,3.52,1.6,-0.29,4.38,0.109,2.776,3.472,50,5.873,-8.502,-128.658,-3.096,-0.493,22.806,-24.644,23.9,4.3,6,SL,0.911,5,20,183.744,850.921,
2014-04-17 14:48:00 -0500,1,Top,Madison Bumgarner,Justin Turner,B,144.21,125.2,92.8,85.5,3.61,1.49,7.8,7.86,-1.317,3.354,3.203,50,5.767,-14.804,-135.242,-3.186,14.514,28.308,-17.487,23.8,-32.3,4.7,FT,0.908,11,36,135.34,2215.037,
2014-04-17 14:48:18 -0500,1,Top,Madison Bumgarner,Justin Turner,S,105.58,148.51,88.7,83.1,3.52,1.6,4.23,6.3,-0.173,2.326,3.472,50,5.723,-10.818,-129.584,-4.648,7.32,22.391,-21.188,23.9,-14.2,5.3,SL,0.555,5,27,146.326,1477.978,
2014-04-17 14:48:43 -0500,1,Top,Madison Bumgarner,Justin Turner,B,36.91,168.37,75.5,69.6,3.54,1.53,-3.99,-6.92,1.955,1.569,3.667,50,5.973,-2.595,-110.773,-0.225,-4.877,22.961,-40.548,23.8,7.4,13.6,CU,0.896,14,24,329.785,1269.176,
2014-04-17 14:49:05 -0500,1,Top,Madison Bumgarner,Justin Turner,S,94.42,132.97,87.9,81.4,3.52,1.6,1.88,3.03,0.122,3.011,3.623,50,5.801,-9.525,-128.58,-1.782,3.16,25.623,-27.007,23.8,-2.9,6.6,SL,0.923,2,23,148.552,683.383,
2014-04-17 14:49:37 -0500,1,Top,Madison Bumgarner,Justin Turner,S,112.45,116.57,92.3,85.2,3.52,1.6,6.63,8.94,-0.391,3.63,3.444,50,5.797,-12.528,-134.763,-2.86,12.263,27.656,-15.57,23.8,-31.1,4.1,FF,0.84,11,49,143.553,2222.154,
2014-04-17 14:50:02 -0500,1,Top,Madison Bumgarner,Justin Turner,X,79.83,152.83,88.5,82.5,3.52,1.6,3.66,5.61,0.647,2.164,3.57,50,5.662,-8.728,-129.394,-4.606,6.275,23.81,-22.475,23.9,-11.6,5.6,SL,0.802,9,42,147.099,1295.213,
2014-04-17 14:50:45 -0500,1,Top,Madison Bumgarner,Yasiel Puig,B,138.2,152.83,93.8,87,3.72,1.67,6.84,7.73,-1.15,2.138,3.3,50,5.627,-14.466,-136.624,-6.249,13.065,27.258,-17.35,23.8,-28.9,4.5,FT,0.841,13,65,138.61,2098.241,
2014-04-17 14:51:06 -0500,1,Top,Madison Bumgarner,Yasiel Puig,B,139.91,136.43,93.8,86.4,3.76,1.64,7.04,8.88,-1.179,2.875,3.259,50,5.709,-14.473,-136.755,-4.845,13.385,29.23,-15.223,23.8,-32.5,4.1,FT,0.866,11,58,141.705,2291.302,
2014-04-17 14:51:37 -0500,1,Top,Madison Bumgarner,Yasiel Puig,S,130.47,138.15,89.1,82.7,3.51,1.63,2.05,4.07,-0.881,2.801,3.366,50,5.723,-11.626,-130.116,-2.659,3.539,25.635,-25.079,23.8,-3.1,6,SL,0.904,11,51,153.491,884.038,
2014-04-17 14:52:05 -0500,1,Top,Madison Bumgarner,Yasiel Puig,S,115.88,131.24,87.6,81.2,3.51,1.63,1.48,3.24,-0.432,3.177,3.379,50,5.723,-10.139,-128.04,-1.179,2.47,25.211,-26.701,23.8,-1.2,6.5,SL,0.923,1,38,155.711,680.357,
2014-04-17 14:52:42 -0500,1,Top,Madison Bumgarner,Yasiel Puig,S,112.45,112.25,92.8,85,3.51,1.63,5.71,8.43,-0.328,3.855,3.406,50,5.705,-11.959,-135.567,-1.865,10.589,30.539,-16.469,23.8,-25.1,4.1,FF,0.958,11,47,146.012,2027.023,
2014-04-17 14:55:05 -0500,1,Bottom,Hyun-Jin Ryu,Joaquin Arias,B,87.55,113.98,86.8,81.2,3.35,1.42,6.71,8.43,0.379,3.865,2.386,50,6.207,-7.285,-127.049,-2.354,11.18,21.193,-18.052,23.9,-28.5,5.1,FT,0.822,12,41,141.633,2056.776,
2014-04-17 14:55:20 -0500,1,Bottom,Hyun-Jin Ryu,Joaquin Arias,S,124.46,132.97,88.5,81.9,3.44,1.64,7.22,9.14,-0.755,3.018,2.162,50,6.113,-9.878,-129.323,-4.706,12.32,25.063,-16.506,23.8,-31,4.8,FT,0.901,11,62,141.823,2235.983,
2014-04-17 14:55:41 -0500,1,Bottom,Hyun-Jin Ryu,Joaquin Arias,X,127.04,139.88,88.6,82.1,3.44,1.64,7.85,8.1,-0.823,2.704,2.061,50,6.096,-10.01,-129.403,-5.135,13.416,24.94,-18.251,23.8,-31,5.3,FT,0.896,11,58,136.063,2167.705,
2014-04-17 14:56:21 -0500,1,Bottom,Hyun-Jin Ryu,Hunter Pence,S,95.28,158.01,81.4,75.7,3.41,1.67,11.12,4.59,0.153,1.97,2.266,50,5.978,-8.39,-118.987,-4.047,16.069,21.037,-25.458,23.9,-29.3,8.4,CH,0.906,8,55,112.683,2123.496,
2014-04-17 14:56:35 -0500,1,Bottom,Hyun-Jin Ryu,Hunter Pence,X,79.83,151.97,89.2,83.4,3.41,1.67,7.95,8.28,0.649,2.217,2.28,50,5.972,-6.919,-130.505,-6.353,13.941,23.109,-17.587,23.9,-34.4,5.2,FT,0.897,9,56,136.298,2243.069,
2014-04-17 14:57:16 -0500,1,Bottom,Hyun-Jin Ryu,Pablo Sandoval,S,83.26,151.1,70.7,65.5,3.28,1.49,-3.17,-8.44,0.499,2.246,2.402,50,6.472,-3.039,-103.639,1.512,-3.4,19.384,-41.16,23.8,5.4,15.5,CU,0.9,6,75,339.277,1344.928,
2014-04-17 14:57:36 -0500,1,Bottom,Hyun-Jin Ryu,Pablo Sandoval,B,149.36,170.96,82,78,3.2,1.53,0.49,0.6,-1.504,1.395,2.156,50,6.141,-8.909,-119.824,-4.835,0.726,17.134,-31.209,24,0.6,8.6,SL,0.904,13,30,143.046,146.212,
2014-04-17 14:58:11 -0500,1,Bottom,Hyun-Jin Ryu,Pablo Sandoval,B,42.06,146.79,81.5,75.8,3.16,1.53,9.31,6.08,1.77,2.415,2.537,50,6.014,-4.675,-119.389,-3.588,13.534,21.47,-23.256,23.8,-28.1,7.5,CH,0.906,12,16,123.383,1969.554,
2014-04-17 14:58:35 -0500,1,Bottom,Hyun-Jin Ryu,Pablo Sandoval,B,57.51,133.84,89.5,83,3.13,1.53,6.25,9.69,1.29,3.01,2.409,50,6.057,-5.018,-131.073,-5.005,10.969,25.476,-15.101,23.8,-32,4.4,FT,0.928,12,69,147.281,2246.133,
2014-04-17 14:58:59 -0500,1,Bottom,Hyun-Jin Ryu,Pablo Sandoval,S,62.66,158.88,81.7,77,3.2,1.53,7.74,4.29,1.173,1.833,2.317,50,6.034,-5.126,-119.637,-4.599,11.443,18.637,-25.755,23.9,-22.1,7.8,CH,0.902,14,55,119.291,1591.054,
2014-04-17 14:59:28 -0500,1,Bottom,Hyun-Jin Ryu,Pablo Sandoval,X,130.47,133.84,89.8,83.8,3.2,1.53,7.3,8.18,-0.883,3.013,2.009,50,6.089,-10.024,-131.244,-4.652,12.933,23.534,-17.597,23.9,-31.3,4.9,FT,0.905,11,70,138.421,2154.133,
2014-04-17 15:00:08 -0500,1,Bottom,Hyun-Jin Ryu,Buster Posey,B,48.07,131.24,70.2,64.8,3.44,1.49,-3.47,-11.57,1.605,3.101,2.443,50,6.492,-0.782,-102.851,4.128,-3.672,19.125,-44.338,23.8,5,16.8,CU,0.905,12,67,343.204,1792.289,
2014-04-17 15:00:27 -0500,1,Bottom,Hyun-Jin Ryu,Buster Posey,S,79.83,142.47,80.5,75.2,3.44,1.58,-1.97,0.48,0.612,2.612,2.414,50,6.148,-3.611,-117.955,-1.547,-2.807,20.482,-31.418,23.9,6,9.1,SL,0.905,6,34,254.926,357.548,
2014-04-17 15:00:46 -0500,1,Bottom,Hyun-Jin Ryu,Buster Posey,S,123.61,123.47,91,84.9,3.44,1.58,5.28,8.63,-0.728,3.384,1.955,50,6.185,-8.913,-133.073,-4.31,9.611,24.284,-16.384,23.9,-25.1,4.2,FF,0.879,11,58,148.673,2015.264,
