time,inning,Top,pitcher,batter,outcome,x,y,vs,ve,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vxo,vyo,vzo,break_y,break_angle,break_length,,q1,q2,pitch_type,type_confidence,zone,nasty,spin_dir,spin_rate
2014-04-25 00:02:33 -0500,9,Top,Brian Wilson,Cody Asche,S,108.15,146.79,87.1,80.9,3.59,1.68,-0.23,7.03,-0.34,2.468,-2.243,50,5.59,4.884,-127.561,-3.852,-0.38,24.144,-20.41,23.8,-1.3,5.1,SL,0.867,4,60,181.848,1338.646
2014-04-25 00:02:49 -0500,9,Top,Brian Wilson,Cody Asche,B,147.64,169.24,88,81.1,3.68,1.64,-0.8,7.66,-1.492,1.39,-2.376,50,5.396,2.511,-128.815,-6.391,-1.338,27.152,-19.257,23.8,2.3,5,SL,0.807,13,32,185.912,1462.564
2014-04-25 00:03:06 -0500,9,Top,Brian Wilson,Cody Asche,B,147.64,145.92,91.5,83.4,3.68,1.63,-6.76,9.3,-1.512,2.468,-1.99,50,5.522,3.568,-134.038,-5.122,-12.153,32.268,-15.38,23.7,34.3,4.6,FF,0.697,13,20,215.89,2243.748
2014-04-25 00:03:39 -0500,9,Top,Brian Wilson,Cody Asche,X,119.31,155.42,92.5,84.2,3.54,1.6,-10.86,4.49,-0.587,2.021,-1.755,50,5.381,6.84,-135.403,-4.431,-19.866,33.579,-23.882,23.7,36.1,6.9,FT,0.92,7,55,247.344,2306.53
2014-04-25 00:04:35 -0500,9,Top,Brian Wilson,Tony Gwynn Jr.,B,109.01,168.37,88.2,81.1,3,1.45,-2.4,6.45,-0.188,1.367,-2.093,50,5.433,5.638,-129.127,-6.164,-4.029,28.187,-21.258,23.8,7.3,5.5,FF,0.656,13,59,200.257,1307.319
2014-04-25 00:05:05 -0500,9,Top,Brian Wilson,Tony Gwynn Jr.,S,84.98,157.15,88.8,81.2,3.2,1.49,0.25,3.54,0.523,2.028,-2.048,50,5.388,6.482,-130.077,-3.467,0.427,30.688,-26.109,23.7,-4,6.5,SL,0.903,9,36,175.975,678.119
2014-04-25 00:06:08 -0500,9,Top,Brian Wilson,Tony Gwynn Jr.,S,83.26,164.92,87.1,80.5,3.2,1.49,0.2,4.52,0.489,1.577,-2.194,50,5.444,6.684,-127.471,-4.828,0.334,26.298,-24.666,23.8,-3.6,6.3,SL,0.894,9,44,177.455,855.351
2014-04-25 00:06:45 -0500,9,Top,Brian Wilson,Tony Gwynn Jr.,S,84.98,110.52,93.6,85.7,3.2,1.49,-6.75,7.37,0.429,3.884,-1.94,50,5.379,8.763,-136.968,-0.678,-12.776,31.165,-18.143,23.8,30.6,4.6,FF,0.895,12,32,222.319,2009.98
2014-04-25 00:07:17 -0500,9,Top,Brian Wilson,Tony Gwynn Jr.,B,111.59,176.14,88.9,82.1,3.28,1.43,-1.55,3.92,-0.276,1.045,-2.433,50,5.286,6.055,-130.063,-5.937,-2.656,27.633,-25.393,23.8,3.2,6.3,SL,0.763,13,40,201.388,812.335
2014-04-25 00:08:00 -0500,9,Top,Brian Wilson,Tony Gwynn Jr.,X,110.73,158.88,90,82.6,3.2,1.49,0.68,4.19,-0.37,1.875,-2.269,50,5.334,4.699,-131.92,-4.205,1.187,30.292,-24.776,23.8,-4.9,6,SL,0.915,7,34,170.886,823.996
2014-04-25 00:08:30 -0500,9,Top,Brian Wilson,Ben Revere,B,103,174.42,88.6,82.4,3.13,1.46,1.66,3.77,-0.118,1.336,-2.158,50,5.422,4.686,-129.774,-5.493,2.836,25.953,-25.649,23.8,-7.9,6.4,SL,0.918,13,68,156.51,795.37
2014-04-25 00:08:55 -0500,9,Top,Brian Wilson,Ben Revere,S,115.88,157.15,89.4,81.8,3.05,1.46,-0.07,3.76,-0.538,1.857,-2.183,50,5.367,4.254,-130.975,-4.049,-0.113,30.546,-25.648,23.8,-1.8,6.3,SL,0.897,7,39,180.99,722.979
2014-04-25 00:10:05 -0500,9,Top,Brian Wilson,Ben Revere,X,121.89,148.51,89,81.5,3.03,1.46,0.01,7.47,-0.654,2.183,-2.163,50,5.485,3.865,-130.361,-4.698,0.025,29.446,-19.349,23.8,-2.4,4.9,SL,0.882,4,37,179.89,1427.292
2014-04-25 00:10:38 -0500,9,Top,Brian Wilson,Carlos Ruiz,B,55.79,176.14,90.9,84.5,3.16,1.6,-2.31,6.56,1.276,1.145,-1.826,50,5.412,8.945,-132.76,-7.361,-4.155,26.347,-20.293,23.8,6.6,4.9,FF,0.673,14,62,199.274,1375.444
2014-04-25 00:10:59 -0500,9,Top,Brian Wilson,Carlos Ruiz,S,89.27,150.24,89.5,82.7,3.13,1.57,-0.29,5.3,0.34,2.308,-2.077,50,5.462,6.355,-131.018,-3.75,-0.511,27.113,-22.868,23.8,-1.8,5.5,SL,0.891,6,25,183.141,1032.02
2014-04-25 00:11:21 -0500,9,Top,Brian Wilson,Carlos Ruiz,B,54.08,159.74,91,83.9,3.27,1.57,-0.51,5.18,1.429,1.925,-1.757,50,5.424,8.543,-133.146,-4.843,-0.917,29.253,-22.822,23.8,-2,5.4,SL,0.875,14,22,185.598,1023.897
2014-04-25 00:11:43 -0500,9,Top,Brian Wilson,Carlos Ruiz,B,44.64,153.69,91.2,84.2,3.24,1.53,0.29,4.34,1.701,2.045,-1.682,50,5.595,8.808,-133.42,-4.736,0.523,28.954,-24.282,23.8,-5.2,5.7,SL,0.915,14,19,176.21,860.042
2014-04-25 00:12:05 -0500,9,Top,Brian Wilson,Carlos Ruiz,S,102.15,151.1,93.3,85.5,3.2,1.43,-9.63,5.06,-0.094,2.143,-1.821,50,5.297,8.007,-136.584,-4.284,-18.083,31.647,-22.597,23.8,34.7,6.2,FT,0.806,5,29,242.093,2173.507
2014-04-25 00:12:58 -0500,9,Top,Brian Wilson,Carlos Ruiz,X,93.56,153.69,90,83.7,3.15,1.47,-0.96,3.18,0.149,2.046,-2.236,50,5.203,6.556,-131.862,-3.182,-1.709,25.893,-26.453,23.9,1.1,6.2,SL,0.878,5,27,196.631,656.925
2014-04-25 00:13:23 -0500,9,Top,Brian Wilson,Chase Utley,S,104.72,162.33,92.7,84.9,3.41,1.67,-9.36,5.81,-0.106,1.845,-1.612,50,5.231,7.265,-135.685,-5.051,-17.319,31.614,-21.341,23.8,34.9,6,FT,0.824,8,45,237.973,2184.215
2014-04-25 00:13:45 -0500,9,Top,Brian Wilson,Chase Utley,B,182.83,105.34,86.9,79.7,3.99,1.81,-6.99,6.93,-2.577,4.009,-2.548,50,5.638,2.206,-127.485,0.036,-11.451,27.259,-20.748,23.8,27.9,5.8,IN,0,11,0,225.062,1840.888
2014-04-25 00:13:56 -0500,9,Top,Brian Wilson,Chase Utley,B,193.99,100.16,87.1,79.8,3.96,1.78,-5.23,8.3,-3.587,4.216,-2.55,50,5.847,-0.902,-127.787,-0.435,-8.588,27.902,-18.461,23.8,25.3,5.1,IN,0,11,0,212.056,1836.963
2014-04-25 00:14:06 -0500,9,Top,Brian Wilson,Chase Utley,B,195.71,74.26,89.5,81.7,3.82,1.84,-5.91,4.41,-4.284,5.468,-2.634,50,5.836,-2.282,-131.252,3.789,-10.211,30.186,-24.473,23.7,24.4,6.1,IN,0,11,0,232.976,1413.67
2014-04-25 00:14:24 -0500,9,Top,Brian Wilson,Chase Utley,B,193.13,96.71,89.8,82.1,4.02,1.8,-5.1,7.42,-3.486,4.503,-2.503,50,5.761,-0.831,-131.674,0.436,-8.891,29.81,-19.165,23.8,25.4,4.9,IN,0,11,0,214.349,1736.107
2014-04-25 00:15:00 -0500,9,Top,Brian Wilson,Ryan Howard,S,116.74,120.88,88.4,81.9,3.81,1.86,-1.72,3.26,-0.466,3.363,-2.48,50,5.449,5.74,-129.598,-0.179,-2.948,25.696,-26.519,23.8,4,6.3,SL,0.683,1,69,207.532,713.904
2014-04-25 00:15:20 -0500,9,Top,Brian Wilson,Ryan Howard,B,163.95,124.34,88.5,81.5,3.81,1.83,-1.71,5.31,-1.966,3.281,-2.43,50,5.407,1.758,-129.804,-0.949,-2.918,27.395,-23.049,23.8,6.3,5.6,SL,0.593,11,20,197.732,1070.752
2014-04-25 00:15:40 -0500,9,Top,Brian Wilson,Ryan Howard,S,122.75,148.51,93.3,85.6,3.72,1.78,-5.21,8.11,-0.744,2.224,-1.819,50,5.409,4.718,-136.608,-5.451,-9.818,31.12,-16.833,23.8,25.9,4.3,FF,0.903,13,52,212.617,1934.304
2014-04-25 00:16:25 -0500,9,Top,Brian Wilson,Ryan Howard,B,42.92,102.75,93.9,86.7,3.72,1.78,-6.22,5.09,1.765,4.345,-1.782,50,5.452,11.825,-137.135,1.107,-11.928,28.406,-22.334,23.8,23.2,5.1,FF,0.913,12,24,230.478,1635.86
