"rest","count","year"
0,9,2006
1,4,2006
2,8,2006
3,1,2006
4,3,2006
5,0,2006
6,0,2006
7,0,2006
0,8,2007
1,8,2007
2,4,2007
3,1,2007
4,2,2007
5,0,2007
6,0,2007
7,0,2007
0,18,2008
1,17,2008
2,9,2008
3,5,2008
4,5,2008
5,2,2008
6,5,2008
7,1,2008
0,19,2009
1,14,2009
2,16,2009
3,9,2009
4,6,2009
5,2,2009
6,1,2009
7,0,2009
0,23,2010
1,13,2010
2,14,2010
3,10,2010
4,6,2010
5,1,2010
6,2,2010
7,0,2010
0,19,2011
1,18,2011
2,7,2011
3,4,2011
4,3,2011
5,1,2011
6,3,2011
7,0,2011
0,5,2013
1,6,2013
2,3,2013
3,3,2013
4,0,2013
5,0,2013
6,0,2013
7,0,2013
0,0,2014
1,3,2014
2,1,2014
3,0,2014
4,0,2014
5,0,2014
6,0,2014
7,0,2014
0,1,2012
1,0,2012
2,0,2012
3,0,2012
4,0,2012
5,0,2012
6,0,2012
7,0,2012
