"Pitch","MPH","Zone","Game Date","Count","Pitch Result","AB Result","*[8]"
"FT",91,8,"6/22/2014","0 - 0","Called Strike","Seth Smith grounds out, second baseman Dee Gordon to first baseman Adrian Gonzalez.  ",
"FF",91.7,11,"6/22/2014","0 - 1","Ball","Seth Smith grounds out, second baseman Dee Gordon to first baseman Adrian Gonzalez.  ",
"FF",93.3,13,"6/22/2014","2 - 0","Ball","Everth Cabrera walks.",
"FF",92.5,4,"6/22/2014","3 - 0","Called Strike","Everth Cabrera walks.",
"FF",93.6,13,"6/22/2014","3 - 1","Ball","Everth Cabrera walks.",
"FF",92,11,"6/20/2014","1 - 1","Called Strike","Seth Smith doubles (16) on a line drive to center fielder Andre Ethier.",
"FF",93,11,"6/20/2014","1 - 2","Foul","Seth Smith doubles (16) on a line drive to center fielder Andre Ethier.",
"FT",92.7,8,"6/20/2014","1 - 2","In play, no out","Seth Smith doubles (16) on a line drive to center fielder Andre Ethier.",
"FF",93.6,13,"6/20/2014","3 - 1","Foul","Yasmani Grandal lines out to shortstop Carlos Triunfel.",
"FF",93.2,13,"6/20/2014","0 - 0","Ball In Dirt","Tommy Medica flies out to right fielder Scott Van Slyke.   Seth Smith to 3rd.",
"FF",93.9,6,"6/20/2014","2 - 0","Foul","Cameron Maybin pops out to second baseman Dee Gordon.",
"FF",94.8,4,"6/20/2014","2 - 1","In play, out(s)","Cameron Maybin pops out to second baseman Dee Gordon.",
"FT",90.4,11,"6/17/2014","1 - 0","Ball","DJ LeMahieu grounds into a double play, first baseman Adrian Gonzalez to shortstop Carlos Triunfel.   Ryan Wheeler out at 2nd.  ",
"FF",94.2,11,"6/17/2014","1 - 2","Ball","Charlie Blackmon pops out to second baseman Dee Gordon.",
"FF",94.7,4,"6/17/2014","2 - 2","Foul (Runner Going)","Charlie Blackmon pops out to second baseman Dee Gordon.",
"FF",93.2,3,"6/17/2014","3 - 2","In play, out(s)","Charlie Blackmon pops out to second baseman Dee Gordon.",
"FT",93,5,"6/16/2014","2 - 1","Swinging Strike","Brandon Barnes called out on strikes.",
"FF",92.9,3,"6/14/2014","0 - 1","Foul","Paul Goldschmidt pops out to catcher A.  J.   Ellis in foul territory.",
"FF",94.5,11,"6/14/2014","1 - 2","Foul","Paul Goldschmidt pops out to catcher A.  J.   Ellis in foul territory.",
"FF",93.7,11,"6/14/2014","1 - 2","In play, out(s)","Paul Goldschmidt pops out to catcher A.  J.   Ellis in foul territory.",
"FF",90.9,8,"6/13/2014","0 - 0","Called Strike","Aaron Hill singles on a ground ball to second baseman Dee Gordon.",
"FT",92.3,14,"6/13/2014","0 - 2","Ball","Aaron Hill singles on a ground ball to second baseman Dee Gordon.",
"FT",92.3,14,"6/13/2014","1 - 2","Ball","Aaron Hill singles on a ground ball to second baseman Dee Gordon.",
"FT",91.9,13,"6/13/2014","0 - 0","Ball","Cody Ross flies out to center fielder Andre Ethier.",
"FT",91.4,7,"6/13/2014","1 - 0","Swinging Strike","Cody Ross flies out to center fielder Andre Ethier.",
"FT",92.1,13,"6/13/2014","1 - 1","Ball In Dirt","Cody Ross flies out to center fielder Andre Ethier.",
"FT",92.7,11,"6/13/2014","2 - 1","Ball","Cody Ross flies out to center fielder Andre Ethier.",
"FF",92.2,1,"6/10/2014","2 - 0","Called Strike","Brandon Phillips grounds into a double play, shortstop Miguel Rojas to second baseman Dee Gordon to first baseman Adrian Gonzalez.   Joey Votto out at 2nd.  ",
"FF",93.5,5,"6/10/2014","1 - 0","Called Strike","Devin Mesoraco singles on a ground ball to left fielder Matt Kemp.   Jay Bruce to 2nd.",
"FF",94.4,4,"6/10/2014","1 - 1","In play, no out","Devin Mesoraco singles on a ground ball to left fielder Matt Kemp.   Jay Bruce to 2nd.",
"FF",93.7,13,"6/10/2014","1 - 1","Called Strike","Skip Schumaker strikes out swinging.",
"FF",93,12,"6/6/2014","1 - 1","Swinging Strike","Drew Stubbs called out on strikes.",
"FF",93.3,11,"6/6/2014","1 - 2","Ball","Drew Stubbs called out on strikes.",
"FF",93,12,"6/6/2014","2 - 2","Ball","Drew Stubbs called out on strikes.",
"FF",93.9,11,"6/6/2014","1 - 2","Ball","Corey Dickerson strikes out swinging.",
"FF",93.7,2,"6/6/2014","0 - 0","Foul","Michael McKenry singles on a sharp line drive to right fielder Yasiel Puig.",
"FF",94.3,2,"6/6/2014","0 - 1","Foul","Michael McKenry singles on a sharp line drive to right fielder Yasiel Puig.",
"FF",95.1,2,"6/6/2014","0 - 2","In play, no out","Michael McKenry singles on a sharp line drive to right fielder Yasiel Puig.",
"FF",93.6,6,"6/6/2014","0 - 1","Foul","Charlie Culberson reaches on a fielding error by shortstop Miguel Rojas.   Michael McKenry to 2nd.",
"FF",94.8,12,"6/6/2014","0 - 2","Ball","Charlie Culberson reaches on a fielding error by shortstop Miguel Rojas.   Michael McKenry to 2nd.",
"FF",91.7,11,"6/4/2014","0 - 2","Ball","Alexei Ramirez reaches on a fielding error by shortstop Hanley Ramirez.",
"FT",92.6,12,"6/4/2014","1 - 2","Foul","Alexei Ramirez reaches on a fielding error by shortstop Hanley Ramirez.",
"FT",92.1,11,"6/4/2014","0 - 2","Ball","Alejandro De Aza strikes out swinging and Alexei Ramirez caught stealing 2nd, catcher Drew Butera to shortstop Hanley Ramirez.  ",
"FF",92,6,"6/4/2014","0 - 0","Foul","Tyler Flowers strikes out swinging.",
"FF",93.8,11,"6/4/2014","0 - 2","Swinging Strike","Tyler Flowers strikes out swinging.",
"FF",92.6,9,"5/30/2014","3 - 1","Foul","Andrew McCutchen walks.",
"FT",88.6,4,"5/30/2014","0 - 0","Foul","Ike Davis grounds out, second baseman Dee Gordon to first baseman Scott Van Slyke.  ",
"FT",93,13,"5/30/2014","1 - 1","Ball","Ike Davis grounds out, second baseman Dee Gordon to first baseman Scott Van Slyke.  ",
"FF",91,14,"5/30/2014","2 - 1","Ball","Ike Davis grounds out, second baseman Dee Gordon to first baseman Scott Van Slyke.  ",
"FF",93,11,"5/30/2014","3 - 1","Called Strike","Ike Davis grounds out, second baseman Dee Gordon to first baseman Scott Van Slyke.  ",
"FT",92.1,12,"5/28/2014","0 - 2","Ball","Ryan Ludwick flies out to right fielder Yasiel Puig.",
"FF",92.5,11,"5/28/2014","0 - 2","Ball","Brayan Pena singles on a line drive to center fielder Andre Ethier.",
"FF",93.5,12,"5/28/2014","1 - 2","Swinging Strike","Zack Cozart strikes out swinging.",
"FF",93.5,12,"5/28/2014","0 - 2","In play, out(s)","Skip Schumaker grounds out, third baseman Justin Turner to first baseman Adrian Gonzalez.  ",
"FF",92.7,6,"5/26/2014","1 - 0","Foul","Devin Mesoraco strikes out swinging.",
"FF",93.9,12,"5/26/2014","1 - 1","Ball","Devin Mesoraco strikes out swinging.",
"FF",93.7,5,"5/26/2014","2 - 1","Foul","Devin Mesoraco strikes out swinging.",
"FF",92.5,13,"5/26/2014","0 - 0","Called Strike","Skip Schumaker walks.   Ryan Ludwick to 3rd.    Brayan Pena to 2nd.",
"FF",92.5,11,"5/26/2014","0 - 1","Ball","Skip Schumaker walks.   Ryan Ludwick to 3rd.    Brayan Pena to 2nd.",
"FT",93,13,"5/26/2014","1 - 1","Foul","Skip Schumaker walks.   Ryan Ludwick to 3rd.    Brayan Pena to 2nd.",
"FF",93.5,11,"5/26/2014","1 - 2","Ball","Skip Schumaker walks.   Ryan Ludwick to 3rd.    Brayan Pena to 2nd.",
"FF",94.5,11,"5/26/2014","2 - 2","Ball","Skip Schumaker walks.   Ryan Ludwick to 3rd.    Brayan Pena to 2nd.",
"FT",93.3,11,"5/26/2014","1 - 0","Ball","Billy Hamilton doubles (5) on a line drive to right fielder Yasiel Puig.   Ryan Ludwick scores.    Brayan Pena scores.    Skip Schumaker to 3rd.",
"FF",94.3,8,"5/26/2014","2 - 0","In play, run(s)","Billy Hamilton doubles (5) on a line drive to right fielder Yasiel Puig.   Ryan Ludwick scores.    Brayan Pena scores.    Skip Schumaker to 3rd.",
"FF",95.1,11,"5/26/2014","0 - 0","Ball","Zack Cozart walks.",
"FF",93.9,11,"5/26/2014","2 - 0","Ball","Zack Cozart walks.",
"FF",92.6,11,"5/26/2014","3 - 0","Ball","Zack Cozart walks.",
"FT",90.6,11,"5/23/2014","0 - 1","Ball","Chase Utley called out on strikes.",
"FT",92.1,11,"5/23/2014","1 - 2","Ball","Chase Utley called out on strikes.",
"FT",91.9,9,"5/23/2014","2 - 2","Foul","Chase Utley called out on strikes.",
"FF",93.4,12,"5/23/2014","0 - 1","Ball","Marlon Byrd strikes out swinging.",
"FF",92.7,12,"5/23/2014","1 - 2","Swinging Strike","Marlon Byrd strikes out swinging.",
