"Name","G","SV","HLD","IP","K","BB","K-BB","ERA","FIP","WHIP","WAR","playerid"
"J.P. Howell","56","0","24","41.0",24.2,12.4,11.8,"1.32","2.77","1.00","0.6","8245"
"Brandon League","49","0","8","51.0",12.7,10,2.7,"2.47","3.45","1.43","0.1","3731"
"Pedro Baez","6","0","1","7.0",16,8,8,"2.57","4.71","0.86","-0.1","5420"
"Chris Withrow","20","0","6","21.1",31.1,20,11.1,"2.95","3.79","1.31","-0.1","7161"
"Kenley Jansen","54","35","0","51.1",38.2,6.6,31.6,"2.98","1.81","1.17","1.7","3096"
"Jamey Wright","47","1","4","58.0",18.4,8.6,9.8,"3.72","3.27","1.26","0.3","715"
"Paco Rodriguez","13","0","3","10.1",27.5,7.5,20,"4.35","1.88","1.26","0.2","13398"
"Paul Maholm","22","0","0","27.0",14.4,8.5,5.9,"5.00","3.21","1.52","0.1","8678"
"Chris Perez","42","1","6","39.1",17.3,12.1,5.2,"5.03","5.58","1.45","-0.9","5213"
"Brian Wilson","47","1","18","39.1",26.9,14,12.9,"5.26","4.13","1.70","-0.2","6485"
"Carlos Frias","5","0","0","9.0",18.9,5.4,13.5,"6.00","5.14","1.11","-0.1","3547"
"Drew Butera","2","0","0","1.2",28.6,0,28.6,"10.80","8.54","1.20","-0.1","3411"
"Jose Dominguez","5","0","0","6.1",26.7,10,16.7,"11.37","6.61","1.58","-0.1","11571"
