"time","inning","pitcher","batter","outcome","x","y","vs","pitchtype"
"2014-08-20 21:40:47 -0700",8,"Brian Wilson","Jake Goebbert","S",119.31,116.57,70.7,"CU"
"2014-08-20 21:41:08 -0700",8,"Brian Wilson","Jake Goebbert","S",127.04,148.51,82.9,"SL"
"2014-08-20 21:41:28 -0700",8,"Brian Wilson","Jake Goebbert","S",149.36,140.74,74.2,"CU"
"2014-08-20 21:41:55 -0700",8,"Brian Wilson","Jake Goebbert","S",115.88,147.65,85.5,"SL"
"2014-08-20 21:42:23 -0700",8,"Brian Wilson","Jake Goebbert","B",145.92,179.6,85.3,"SL"
"2014-08-20 21:42:46 -0700",8,"Brian Wilson","Jake Goebbert","B",75.54,196,77,"CU"
"2014-08-20 21:43:35 -0700",8,"Brian Wilson","Jake Goebbert","X",120.17,164.06,86.4,"SL"
"2014-08-20 21:44:20 -0700",8,"Brian Wilson","Rymer Liriano","S",84.12,174.42,85.9,"SL"
"2014-08-20 21:44:43 -0700",8,"Brian Wilson","Rymer Liriano","X",97,151.1,73.4,"CU"
"2014-08-20 21:45:29 -0700",8,"Brian Wilson","Alexi Amarista","B",84.12,165.78,85.8,"SL"
"2014-08-20 21:45:49 -0700",8,"Brian Wilson","Alexi Amarista","S",121.03,147.65,84.2,"SL"
"2014-08-20 21:46:15 -0700",8,"Brian Wilson","Alexi Amarista","S",115.02,145.06,86.2,"SL"
"2014-08-20 21:46:47 -0700",8,"Brian Wilson","Alexi Amarista","B",42.92,205.5,78.2,"CU"
"2014-08-20 21:49:46 -0700",8,"Brian Wilson","Alexi Amarista","B",114.16,89.8,89.8,"?"
"2014-08-20 21:50:08 -0700",8,"Brian Wilson","Alexi Amarista","B",115.02,83.76,83.76,"?"
"2014-08-20 21:50:19 -0700",8,"Brian Wilson","Will Venable","B",151.93,156.29,87,"SL"
"2014-08-20 21:51:05 -0700",8,"Brian Wilson","Will Venable","S",127.04,145.92,85.8,"SL"
"2014-08-20 21:51:32 -0700",8,"Brian Wilson","Will Venable","B",121.89,177.87,85.3,"SL"
"2014-08-20 21:51:58 -0700",8,"Brian Wilson","Will Venable","B",124.46,162.33,87.7,"SL"
"2014-08-20 21:52:33 -0700",8,"Brian Wilson","Will Venable","S",133.05,145.06,87.2,"SL"
"2014-08-20 21:53:27 -0700",8,"Brian Wilson","Will Venable","S",122.75,141.61,89.2,"SL"
"2014-08-20 21:53:56 -0700",8,"Brian Wilson","Will Venable","X",120.17,138.15,88.3,"SL"
