"Name","G","SV","HLD","IP","K%","BB%","K-BB%","ERA","FIP","WHIP","WAR","playerid"
"Yimi Garcia","1","0","0","2.0","16.7 %","0.0 %","16.7 %","0.00","2.13","0.50","0.0","12095"
"J.P. Howell","61","0","25","43.2","24.4 %","13.4 %","11.1 %","1.24","2.85","1.03","0.6","8245"
"Pedro Baez","11","0","1","14.2","15.8 %","8.8 %","7.0 %","1.84","3.81","0.95","0.0","5420"
"Brandon League","53","0","8","54.0","12.7 %","10.1 %","2.5 %","2.67","3.46","1.48","0.1","3731"
"Kenley Jansen","58","39","0","55.1","39.7 %","6.6 %","33.0 %","2.77","1.63","1.12","2.0","3096"
"Chris Withrow","20","0","6","21.1","31.1 %","20.0 %","11.1 %","2.95","3.79","1.31","-0.1","7161"
"Jamey Wright","53","1","4","63.1","18.0 %","8.2 %","9.7 %","3.84","3.41","1.26","0.2","715"
"Paco Rodriguez","13","0","3","10.1","27.5 %","7.5 %","20.0 %","4.35","1.87","1.26","0.2","13398"
"Chris Perez","43","1","6","40.0","17.1 %","12.5 %","4.6 %","4.95","5.60","1.45","-0.9","5213"
"Brian Wilson","51","1","19","41.2","25.5 %","13.8 %","11.7 %","4.97","4.14","1.70","-0.2","6485"
"Carlos Frias","8","0","0","14.1","17.2 %","3.5 %","13.8 %","5.65","3.97","1.05","-0.1","3547"
"Drew Butera","2","0","0","1.2","28.6 %","0.0 %","28.6 %","10.80","8.53","1.20","-0.1","3411"
"Jose Dominguez","5","0","0","6.1","26.7 %","10.0 %","16.7 %","11.37","6.60","1.58","-0.1","11571"
"Kevin Correia","1","0","0","0.2","0.0 %","33.3 %","-33.3 %","13.50","12.13","6.00","-0.1","1767"
