"FB Rank","Name","FB Score","G","SV","HLD","IP","K%","BB%","K-BB%","ERA","FIP","WHIP","WAR"
"1","Kenley Jansen",76.5,68,44,0,65.1,37.7,7.1,30.6,2.76,1.91,1.13,2
"2","J.P. Howell",69.6,68,0,27,49,24.1,12.6,11.6,2.39,3.3,1.14,0.2
"3","Brandon League",66.2,63,0,11,63,13.9,9.9,4,2.57,3.4,1.46,0.1
"4","Paco Rodriguez",65.7,19,0,4,14,26.4,7.6,18.9,3.86,2.92,1.14,0.1
"5","Jamey Wright",63.7,60,1,5,68.1,17.2,8.4,8.8,4.35,3.48,1.38,0.1
"6","Yimi Garcia",56.9,8,0,1,10,25,2.8,22.2,1.8,4.23,0.7,-0.1
"7","Paul Maholm",56.4,22,0,0,27,14.4,8.5,5.9,5,3.21,1.52,0.1
"8","Pedro Baez",55.9,20,0,5,24,19.6,5.4,14.1,2.63,3.88,0.88,0
"9","Scott Elbert",54.2,7,0,1,4.1,11.1,5.6,5.6,2.08,2.9,1.15,0
"10","Chris Withrow",53.4,20,0,6,21.1,31.1,20,11.1,2.95,3.79,1.31,-0.1
"11","Chris Perez",52.7,49,1,6,46.1,19.5,12.5,7,4.27,5.07,1.36,-0.8
"12","Carlos Frias",51.7,13,0,1,25.2,24,5.8,18.3,4.91,3.4,1.01,0
"13","Brian Wilson",51.5,61,1,22,48.1,24.2,13,11.2,4.66,4.29,1.61,-0.4
"14","Daniel Coulombe",44.9,5,0,0,4.1,18.2,9.1,9.1,4.15,5.67,1.62,-0.1
"15","Jose Dominguez",32.8,5,0,0,6.1,26.7,10,16.7,11.37,6.61,1.58,-0.1
"16","Drew Butera",30.1,2,0,0,1.2,28.6,0,28.6,10.8,8.53,1.2,-0.1
"17","Kevin Correia",17.9,6,0,0,10.2,11.3,11.3,0,10.13,7.35,1.97,-0.5
